revision;file;nodeIdentifier1;nodeIdentifier2
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_40a421a_96cc548/rev_40a421a-96cc548.revisions;/src/com/googlecode/jmxtrans/model/Query.java;private Set<String> typeNames;private Set<String> typeNames
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_40a421a_96cc548/rev_40a421a-96cc548.revisions;/src/com/googlecode/jmxtrans/model/Query.java;public void setTypeNames(Set<String> typeNames) ;public void setTypeNames(Set<String> typeNames) 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_40a421a_96cc548/rev_40a421a-96cc548.revisions;/src/com/googlecode/jmxtrans/model/Query.java;public Set<String> getTypeNames() ;public Set<String> getTypeNames() 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/NamingStrategy.java;String  formatName (Result result);String  formatName (Result result)
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;private static final Logger LOG ;private static final Logger LOG 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;public static final String  DEFAULT_EXPRESSION ;public static final String  DEFAULT_EXPRESSION 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;public static final String  VAR__CLASSNAME ;public static final String  VAR__CLASSNAME 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;public static final String  VAR__ATTRIBUTE_NAME ;public static final String  VAR__ATTRIBUTE_NAME 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;public static final String  VAR__CLASSNAME_ALIAS ;public static final String  VAR__CLASSNAME_ALIAS 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;public static final String  VAR__EFFECTIVE_CLASSNAME ;public static final String  VAR__EFFECTIVE_CLASSNAME 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;public static final String  VAR__RESULT ;public static final String  VAR__RESULT 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;protected JexlEngine    jexl;protected JexlEngine    jexl
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;protected Expression    parsedExpr;protected Expression    parsedExpr
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;public  JexlNamingStrategy () throws JexlException ;public  JexlNamingStrategy () throws JexlException 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;public  JexlNamingStrategy (String expr) throws JexlException ;public  JexlNamingStrategy (String expr) throws JexlException 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;@Override    public String formatName (Result result) ;@Override    public String formatName (Result result) 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;public void setExpression (String expr) throws JexlException ;public void setExpression (String expr) throws JexlException 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/JexlNamingStrategy.java;protected void  populateContext (JexlContext context, Result result) ;protected void  populateContext (JexlContext context, Result result) 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/ClassAttributeNamingStrategy.java;protected String    delimiter ;protected String    delimiter 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/ClassAttributeNamingStrategy.java;public void setDelimiter (String delim) ;public void setDelimiter (String delim) 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/ClassAttributeNamingStrategy.java;public String   getDelimiter () ;public String   getDelimiter () 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/naming/ClassAttributeNamingStrategy.java;@Override    public String   formatName (Result result) ;@Override    public String   formatName (Result result) 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/output/OpenTSDBWriter.java;protected DataOutputStream  out;protected DataOutputStream  out
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/output/OpenTSDBWriter.java;@Override    protected boolean   getAddHostnameTagDefault() ;@Override    protected boolean   getAddHostnameTagDefault() 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/output/OpenTSDBWriter.java;@Override    protected void  prepareSender() throws LifecycleException ;@Override    protected void  prepareSender() throws LifecycleException 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/output/OpenTSDBWriter.java;@Override    protected void  shutdownSender() throws LifecycleException ;@Override    protected void  shutdownSender() throws LifecycleException 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/output/OpenTSDBWriter.java;@Override    protected void  startOutput() throws IOException ;@Override    protected void  startOutput() throws IOException 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/output/OpenTSDBWriter.java;@Override    protected void  sendOutput (String metricLine) throws IOException ;@Override    protected void  sendOutput (String metricLine) throws IOException 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/model/output/OpenTSDBWriter.java;@Override    protected void  finishOutput () throws IOException ;@Override    protected void  finishOutput () throws IOException 
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9.revisions;/src/com/googlecode/jmxtrans/util/JmxUtils.java;public static Map<String, String>   getTypeNameValueMap (String typeNameStr) ;public static Map<String, String>   getTypeNameValueMap (String typeNameStr) 
