revision;file;methodsignature;leftbody;basebody;rightbody
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_40a421a_96cc548/rev_40a421a-96cc548;/src/com/googlecode/jmxtrans/util/JmxUtils;getConcatedTypeNameValues(Query,List<String>,String);public static String getConcatedTypeNameValues(Query query, List<String> typeNames, String typeName) {
        Set<String> queryTypeNames = query.getTypeNames();
        if (queryTypeNames != null && queryTypeNames.size() > 0) {
            List<String> allNames = new ArrayList<String>(queryTypeNames);
            for (String name : typeNames) {
                if (!allNames.contains(name)) {
                    allNames.add(name);
                }
            }
            return getConcatedTypeNameValues(allNames, typeName);
        } else {
            return getConcatedTypeNameValues(typeNames, typeName);
        }
    };;public static String getConcatedTypeNameValues(Query query, List<String> typeNames, String typeName) {
		Set<String> queryTypeNames = query.getTypeNames();
		if (queryTypeNames != null && queryTypeNames.size() > 0) {
			List<String> allNames = new ArrayList<String>(queryTypeNames);
			for (String name : typeNames) {
				if (!allNames.contains(name)) {
					allNames.add(name);
				}
			}
			return getConcatedTypeNameValues(allNames, typeName);
		} else {
			return getConcatedTypeNameValues(typeNames, typeName);
		}
	}
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_40a421a_96cc548/rev_40a421a-96cc548;/src/com/googlecode/jmxtrans/model/Query;setTypeNames(Set<String>);;;public void setTypeNames(Set<String> typeNames) {
        this.typeNames = typeNames;
    }
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_40a421a_96cc548/rev_40a421a-96cc548;/src/com/googlecode/jmxtrans/model/Query;getTypeNames();;;public Set<String> getTypeNames() {
        return typeNames;
    }
/home/ramdisk/experiment2/projects/jmxtrans/revisions/rev_1a750dd_4d726a9/rev_1a750dd-4d726a9;/test/com/googlecode/jmxtrans/model/output/OpenTSDBWriterTests;setupTest();;;@Before
	public void	setupTest () {
		this.mockQuery = mock(Query.class);
		this.mockResult = mock(Result.class);

		this.writer = new OpenTSDBWriter();

		this.startLoopbackSocket();

			//
