revision;file;methodSignature
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_413c3a2_6244128/rev_413c3a2-6244128;/src/main/test/cucumber/internal/StepMotherTest;shouldInvokeWithFailure();
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_db70ab6_e189683/rev_db70ab6-e189683;/cucumber-maven-plugin/src/main/java/cucumber/mojo/AbstractJRubyMojo;log(BuildEvent);private void log(BuildEvent event) {
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_1316538_92fb52a/rev_1316538-92fb52a;/cuke4duke/src/main/java/cuke4duke/internal/clj/CljStepDefinition;lookupInvokeMethod(int);private Method lookupInvokeMethod(int argCount) throws NoSuchMethodException {
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_857f0c4_5bdbeb1/rev_857f0c4-5bdbeb1;/cuke4duke/src/main/java/cuke4duke/internal/language/ProgrammingLanguage;step_match_list(String,String);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_09f3133_0ec7421/rev_09f3133-0ec7421;/core/src/main/java/cucumber/runtime/StepDefinitionMatch;getTransformedArgs(Class<?>[]);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_ed96fe1_0fac5b8/rev_ed96fe1-0fac5b8;/spring/src/main/java/cucumber/runtime/java/spring/hooks/SpringTransactionHooks;setTxMgr(PlatformTransactionManager);public void setTxMgr(PlatformTransactionManager txMgr) {
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_8a45465_f711375/rev_8a45465-f711375;/clojure/src/main/java/cucumber/runtime/clojure/ClojureHookDefinition;lookupInvokeMethod(Object[]);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_8a45465_f711375/rev_8a45465-f711375;/clojure/src/main/java/cucumber/runtime/clojure/ClojureStepDefinition;lookupInvokeMethod(Object[]);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_8a45465_f711375/rev_8a45465-f711375;/clojure/src/main/java/cucumber/runtime/clojure/ClojureBackend;buildWorld(List<String>,World);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_beb39a9_6c0dccd/rev_beb39a9-6c0dccd;/jruby/src/main/java/cucumber/runtime/jruby/JRubyBackend;runStep(String,Locale,String,String,int);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_af2ad8b_9ed4fb0/rev_af2ad8b-9ed4fb0;/core/src/main/java/cucumber/runtime/Runtime;runUnreportedStep(String,Locale,String,String,int);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_34484c4_b25faf5/rev_34484c4-b25faf5;/core/src/main/java/cucumber/runtime/UndefinedStepsTracker;isGivenWhenThenKeyword(String,Locale);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_393837b_d4ffedd/rev_393837b-d4ffedd;/clojure/src/main/java/cucumber/runtime/clojure/ClojureHookDefinition;lookupInvokeMethod(Object[]);private Method lookupInvokeMethod(Object[] args) throws NoSuchMethodException {
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_393837b_d4ffedd/rev_393837b-d4ffedd;/core/src/main/java/cucumber/runtime/StepDefinitionMatch;transformedArgs(List<ParameterType>,Step,XStream,Locale);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_393837b_d4ffedd/rev_393837b-d4ffedd;/clojure/src/main/java/cucumber/runtime/clojure/ClojureBackend;addAfterHook(IFn);public static void addAfterHook(IFn body) {
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_a865428_dcec2a1/rev_a865428-dcec2a1;/core/src/main/java/cucumber/formatter/FormatterFactory;createFormatterFromClassName(String,Object);private Formatter createFormatterFromClassName(String className, Object out) {
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_f388f5e_5654134/rev_f388f5e-5654134;/openejb/src/main/java/cucumber/runtime/java/openejb/OpenEJBObjectFactory;createInstances();@Override    public void createInstances() {
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_2c84c2b_73efd68/rev_2c84c2b-73efd68;/core/src/test/java/cucumber/table/TableParser;parse(String);public static DataTable parse(String source) {
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_2c84c2b_73efd68/rev_2c84c2b-73efd68;/core/src/test/java/cucumber/runtime/JdkPatternArgumentMatcherTest;assertVariables(String,String,String,int,String,int);private void assertVariables(String regex, String string, String v1, int pos1, String v2, int pos2) throws UnsupportedEncodingException {
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_8c386b8_9dc0498/rev_8c386b8-9dc0498;/core/src/main/java/cucumber/runtime/xstream/LocalizedXStreams;setParameterType(ParameterInfo);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_c4f6c53_9cc482e/rev_c4f6c53-9cc482e;/core/src/main/java/cucumber/runtime/xstream/LocalizedXStreams;setParameterType(ParameterInfo);
/home/ramdisk/experiment4/projects/cucumber-jvm/revisions/rev_35438bf_e073420/rev_35438bf-e073420;/core/src/main/java/cucumber/runtime/formatter/FormatterFactory;instantiate(String,Class<?extendsFormatter>,String);
