revision;pairOfImportedPackages;pairOfImportedPackageAndMember;pairOfImportedPackageAndMemberUsed;pairOfImportedSameMember;totalInsertedImports
/experiment/projects/dropwizard-metrics/revisions/rev_19451e4_a46fdbe/rev_19451e4-a46fdbe.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_1e8af33_0e43b3b/rev_1e8af33-0e43b3b.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_e3bb568_a315b12/rev_e3bb568-a315b12.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_ca7114e_a3f05fc/rev_ca7114e-a3f05fc.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_d870a0f_49271b8/rev_d870a0f-49271b8.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_055b302_7ca0b4b/rev_055b302-7ca0b4b.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_81b17d2_ed51c31/rev_81b17d2-ed51c31.revisions;0;0;0;0;3
/experiment/projects/dropwizard-metrics/revisions/rev_4872a75_6898745/rev_4872a75-6898745.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_d9f810f_0075869/rev_d9f810f-0075869.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_20d73a3_7ce967d/rev_20d73a3-7ce967d.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_ccf07c2_c88b253/rev_ccf07c2-c88b253.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_ccdb26c_460a47c/rev_ccdb26c-460a47c.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_af2d06c_e635c3a/rev_af2d06c-e635c3a.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_2e2c1fe_272e626/rev_2e2c1fe-272e626.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_e0415e5_20506a8/rev_e0415e5-20506a8.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_0719f8f_8eb026a/rev_0719f8f-8eb026a.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_bd78d9b_069551b/rev_bd78d9b-069551b.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_8d15f28_3b88085/rev_8d15f28-3b88085.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_6b910c0_096f25c/rev_6b910c0-096f25c.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b8f9356_34400aa/rev_b8f9356-34400aa.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_6196dbe_6ceeacb/rev_6196dbe-6ceeacb.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_350bdc1_e890474/rev_350bdc1-e890474.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a7e6f19_8d79a9d/rev_a7e6f19-8d79a9d.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a7e6f19_8d79a9d/rev_a7e6f19-8d79a9d.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_fea7fdd_5850ee8/rev_fea7fdd-5850ee8.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_59b2a40_c5bc3a8/rev_59b2a40-c5bc3a8.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_678d978_c5bc3a8/rev_678d978-c5bc3a8.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b6946ce_776e754/rev_b6946ce-776e754.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_b6e8b51_776e754/rev_b6e8b51-776e754.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a061fa5_6dc0396/rev_a061fa5-6dc0396.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_3400d16_6dc0396/rev_3400d16-6dc0396.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_eb1c145_fe2fb3f/rev_eb1c145-fe2fb3f.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_806e683_fe2fb3f/rev_806e683-fe2fb3f.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_4b807e4_0ef8258/rev_4b807e4-0ef8258.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_6edb3b9_0ef8258/rev_6edb3b9-0ef8258.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_3498e33_61147fd/rev_3498e33-61147fd.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_82dbb10_813fcc9/rev_82dbb10-813fcc9.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_a6e570e_813fcc9/rev_a6e570e-813fcc9.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_9348746_01e50f3/rev_9348746-01e50f3.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_8b90418_01e50f3/rev_8b90418-01e50f3.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_1ac368c_86d57fd/rev_1ac368c-86d57fd.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_8aba2c3_86d57fd/rev_8aba2c3-86d57fd.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_389c07d_5f257b9/rev_389c07d-5f257b9.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_4c68560_e635c3a/rev_4c68560-e635c3a.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_4070ec0_6898745/rev_4070ec0-6898745.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_5fcc1c8_a315b12/rev_5fcc1c8-a315b12.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_fadb435_6ceeacb/rev_fadb435-6ceeacb.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_327af1d_b134220/rev_327af1d-b134220.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_9f137af_3de053f/rev_9f137af-3de053f.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_fbc87d2_f22ada1/rev_fbc87d2-f22ada1.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_4fa0454_ad68b2c/rev_4fa0454-ad68b2c.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_8c5206a_6f8973b/rev_8c5206a-6f8973b.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_2675d32_6f8973b/rev_2675d32-6f8973b.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_0a79907_9392caf/rev_0a79907-9392caf.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_84b971f_61b3efd/rev_84b971f-61b3efd.revisions;0;0;0;0;15
/experiment/projects/dropwizard-metrics/revisions/rev_78ec470_397c5be/rev_78ec470-397c5be.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_551be5a_dfa32d3/rev_551be5a-dfa32d3.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_0b4e152_3202120/rev_0b4e152-3202120.revisions;0;0;0;0;0
/experiment/projects/dropwizard-metrics/revisions/rev_6cc35de_783e836/rev_6cc35de-783e836.revisions;0;0;0;0;13
/experiment/projects/dropwizard-metrics/revisions/rev_02a6351_c48e423/rev_02a6351-c48e423.revisions;0;0;0;0;0
