revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/experiment_results/projects/async-http-client/revisions/rev_93cb819_31e901c/rev_93cb819-31e901c.revisions;299;268;0;268;2;31;29;2;0;0;1;0;22
/experiment_results/projects/async-http-client/revisions/rev_2cf9d24_51c6b46/rev_2cf9d24-51c6b46.revisions;301;269;0;269;2;32;32;0;0;0;0;0;22
/experiment_results/projects/async-http-client/revisions/rev_ee6dbbe_8f2a67d/rev_ee6dbbe-8f2a67d.revisions;303;269;0;269;2;34;34;0;0;0;0;0;22
/experiment_results/projects/async-http-client/revisions/rev_ce15649_c5ed481/rev_ce15649-c5ed481.revisions;316;269;0;269;2;47;46;1;0;0;0;0;22
/experiment_results/projects/async-http-client/revisions/rev_b3ee849_8fdaa27/rev_b3ee849-8fdaa27.revisions;325;272;0;272;2;53;53;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_2834878_62be117/rev_2834878-62be117.revisions;323;272;0;272;2;51;50;1;0;0;4;0;21
/experiment_results/projects/async-http-client/revisions/rev_c0eac7b_b36d1d5/rev_c0eac7b-b36d1d5.revisions;325;272;0;272;2;53;53;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_6b1685d_1fbadf5/rev_6b1685d-1fbadf5.revisions;325;272;0;272;2;53;51;2;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_c1d79e3_dcd3178/rev_c1d79e3-dcd3178.revisions;324;272;0;272;2;52;52;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_1e873d6_e316fd2/rev_1e873d6-e316fd2.revisions;324;272;0;272;2;52;52;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_12fb5f5_d53a698/rev_12fb5f5-d53a698.revisions;324;272;0;272;2;52;50;2;0;0;1;0;21
/experiment_results/projects/async-http-client/revisions/rev_6a4b9cd_e4078c4/rev_6a4b9cd-e4078c4.revisions;326;272;0;272;2;54;53;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_7d338a5_c365062/rev_7d338a5-c365062.revisions;328;272;0;272;2;56;56;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_afabbfc_6d6e041/rev_afabbfc-6d6e041.revisions;327;272;0;272;2;55;55;0;0;0;0;0;22
/experiment_results/projects/async-http-client/revisions/rev_e688a45_2d84d9a/rev_e688a45-2d84d9a.revisions;327;272;0;272;2;55;55;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_2923212_8c7a01d/rev_2923212-8c7a01d.revisions;327;272;0;272;2;55;55;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_4207a7d_37dfe8d/rev_4207a7d-37dfe8d.revisions;327;272;0;272;2;55;55;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_8c28c2e_0bff946/rev_8c28c2e-0bff946.revisions;327;272;0;272;2;55;54;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_ecd9b19_a67540d/rev_ecd9b19-a67540d.revisions;331;272;0;272;2;59;58;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_531c59a_d03398e/rev_531c59a-d03398e.revisions;331;272;0;272;2;59;58;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_efbd0f0_32d757b/rev_efbd0f0-32d757b.revisions;332;272;0;272;2;60;59;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_3006d89_ad64394/rev_3006d89-ad64394.revisions;332;272;0;272;2;60;59;1;0;0;0;0;21
