project;mergeScenarios;fpOrderingMergeScenarios;fpRenamingMergeScenarios;fnDuplicationMergeScenarios;fnImportMergeScenarios;textualConfUnmerge;textualConfSsmerge;fpOrderingConf;fpRenamingConf;fnDuplicationMissed;fnImportMissed;fpRenamingConfDup;fpConsLines;fpSpacing;fpConsSpac;fpRenamingConfDupMergeScenarios;fpConsLinesMergeScenarios;fpSpacingMergeScenarios;fpConsSpacMergeScenarios;fnNewArtRefOldOneMergeScnarios;fnNewArtRefOldOneConf;fnInitializationBlocks;fnInitializationBlocksMergeScnarios;minfpam;minfpamScenarios;fnAcidental;fnAcidentalScenarios;crosscutingConflicts;crosscutingScenarios;equalConfs
databus;75;3;0;1;0;398;52;73;0;4;0;0;17;197;2;0;2;3;1;1;7;0;0;48;2;270;3;140;2;38
jackson-databind;746;60;24;7;0;3186;180;655;61;11;0;9;40;1201;2;1;30;36;1;1;11;0;0;105;57;2421;68;1674;50;89
jmxtrans;313;4;0;0;0;50;15;9;0;0;0;0;2;42;0;0;2;3;0;0;0;0;0;15;5;27;4;12;3;2
astyanax;175;6;1;0;0;240;3;172;2;0;0;0;0;1332;0;0;0;4;0;0;0;0;0;1;1;66;5;24;4;1
cucumber-jvm;630;49;18;1;0;530;72;253;29;1;0;1;9;225;0;1;9;24;0;2;10;0;0;40;31;211;39;152;31;23
elasticsearch;2949;77;66;5;0;1205;699;237;317;12;0;9;57;118;12;4;27;26;4;2;2;1;1;369;67;388;87;311;67;316
ambrose;136;5;2;0;0;71;8;35;2;0;0;0;1;102;0;0;1;5;0;0;0;0;0;6;4;29;4;10;2;6
async-http-client;268;16;0;1;0;320;17;93;0;1;0;0;2;171;0;0;2;11;0;0;0;0;0;16;10;212;13;145;11;15
jeromq;232;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;1;2;1;0
dropwizard-metrics;334;3;2;1;0;80;20;18;3;2;0;0;6;21;0;0;3;3;0;0;0;0;0;15;7;46;9;31;6;10
